Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
August Reeves,F,SBD,Raw,21.5,20-23,19-23,Juniors,68.55,69,112.5,120,125,,125,55,57.5,60,,60,115,120,-132.5,,120,305,2,312.10,307.89,271.52,63.42,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
María Alejandra Jiménez,F,SBD,Raw,21.5,20-23,19-23,University,61.75,63,-100,105,107.5,,107.5,47.5,55,-60,,55,105,115,-132.5,,115,277.5,3,302.15,302.60,267.27,61.51,Yes,Puerto Rico,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
María Alejandra Jiménez,F,SBD,Raw,21.5,20-23,19-23,Juniors,61.75,63,-100,105,107.5,,107.5,47.5,55,-60,,55,105,115,-132.5,,115,277.5,3,302.15,302.60,267.27,61.51,Yes,Puerto Rico,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
María Rojas Solís,F,SBD,Raw,20.5,20-23,19-23,University,59.45,63,135,142.5,146.5,,146.5,67.5,70,72.5,,72.5,150,160,166,,166,385,1,429.29,432.31,382.01,87.59,Yes,Costa Rica,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
María Rojas Solís,F,SBD,Raw,20.5,20-23,19-23,Juniors,59.45,63,135,142.5,146.5,,146.5,67.5,70,72.5,,72.5,150,160,166,,166,385,1,429.29,432.31,382.01,87.59,Yes,Costa Rica,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Broc Nye,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,90.6,93,220,230,240.5,,240.5,135,140,147.5,,147.5,-210,210,225,,225,613,1,395.05,390.02,373.69,81.23,Yes,USA,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Reginald Byers,M,SBD,Raw,32,24-34,24-39,Open,90.25,93,75,95,120,,120,70,95,-117.5,,95,140,170,187.5,,187.5,402.5,6,259.89,256.59,245.89,53.44,Yes,US Virgin Islands,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Mark Baptiste,M,SBD,Raw,26,24-34,24-39,Open,89.65,93,215,227.5,-232.5,,227.5,120,-125,125,,125,225,-237.5,-242.5,,225,577.5,5,374.15,369.41,354.10,76.92,Yes,Trinidad and Tobago,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Rayford Brown,M,SBD,Raw,35.5,35-39,24-39,Open,88.4,93,212.5,230,-240,,230,155,160,-172.5,,160,255,262.5,282.5,,282.5,672.5,4,438.83,433.33,415.63,90.20,Yes,Belize,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
Gabriel Rodriguez #9,M,SBD,Raw,18.5,18-19,19-23,University,84.6,93,207.5,217.5,-230,,217.5,110,117.5,-120,,117.5,222.5,232.5,245,,245,580,3,387.42,382.87,367.97,79.52,Yes,Puerto Rico,,NAPF,IPF,2023-08-08,Cayman Islands,,,North American Regional Powerlifting Championships,Yes
